Time(s),Altitude(m),Altitude(ft),Speed(mph),Comments
-2.000000,4254,13957.000000,0.000000,
-1.750000,4251,13947.000000,0.000000,
-1.500000,4249,13940.000000,0.000000,
-1.250000,4246,13930.000000,0.000000,
-1.000000,4243,13921.000000,0.000000,
-0.750000,4239,13907.000000,0.000000,
-0.500000,4235,13894.000000,0.000000,
-0.250000,4232,13885.000000,0.000000,
0.000000,4226,13865.000000,0.000000,Exit
0.250000,4221,13848.000000,0.000000,
0.500000,4216,13832.000000,0.000000,
0.750000,4213,13822.000000,0.000000,
1.000000,4209,13809.000000,0.000000,
1.250000,4204,13793.000000,0.000000,
1.500000,4199,13776.000000,0.000000,
1.750000,4194,13760.000000,0.000000,
2.000000,4185,13730.000000,0.000000,
2.250000,4177,13704.000000,0.000000,
2.500000,4169,13678.000000,0.000000,
2.750000,4161,13652.000000,0.000000,
3.000000,4155,13632.000000,0.000000,
3.250000,4146,13602.000000,0.000000,
3.500000,4138,13576.000000,0.000000,
3.750000,4129,13547.000000,0.000000,
4.000000,4120,13517.000000,0.000000,
4.250000,4110,13484.000000,0.000000,
4.500000,4099,13448.000000,0.000000,
4.750000,4088,13412.000000,0.000000,
5.000000,4075,13369.000000,0.000000,
5.250000,4064,13333.000000,0.000000,
5.500000,4049,13284.000000,0.000000,
5.750000,4038,13248.000000,0.000000,
6.000000,4025,13205.000000,75.000000,Speed Accurate
6.250000,4012,13163.000000,78.000000,
6.500000,3998,13117.000000,81.000000,
6.750000,3986,13077.000000,85.000000,
7.000000,3972,13031.000000,88.000000,
7.250000,3957,12982.000000,92.000000,
7.500000,3941,12930.000000,96.000000,
7.750000,3926,12881.000000,100.000000,
8.000000,3911,12831.000000,102.000000,
8.250000,3897,12785.000000,104.000000,
8.500000,3883,12740.000000,106.000000,
8.750000,3871,12700.000000,108.000000,
9.000000,3858,12657.000000,111.000000,
9.250000,3844,12612.000000,112.000000,
9.500000,3831,12569.000000,115.000000,
9.750000,3816,12520.000000,117.000000,
10.000000,3803,12477.000000,118.000000,
10.250000,3790,12434.000000,119.000000,
10.500000,3778,12395.000000,120.000000,
10.750000,3766,12356.000000,120.000000,
11.000000,3754,12316.000000,120.000000,
11.250000,3742,12277.000000,120.000000,
11.500000,3731,12241.000000,118.000000,
11.750000,3718,12198.000000,119.000000,
12.000000,3705,12156.000000,119.000000,
12.250000,3693,12116.000000,119.000000,
